"idCar","StartDate","FinishDate","latStart","lonStart","latFinish","lonFinish","Distance"
"1","01/06/2014 07:20:01","01/06/2014 07:22:04","36.066457","24.88258237","36.06365789","24.88586563","0.23142993455043195"
"1","01/06/2014 07:57:01","01/06/2014 08:04:09","36.06371303","24.88593027","36.04802854","24.87957475","0.9902412450319682"
"1","01/06/2014 12:17:01","01/06/2014 12:26:27","36.04802488","24.87957162","36.07666279","24.85759134","2.022061626169897"
"1","01/06/2014 13:25:01","01/06/2014 13:34:27","36.07668101","24.85757292","36.04802866","24.87957231","2.0232864052299733"
"1","01/06/2014 17:44:01","01/06/2014 17:48:03","36.04803181","24.87956989","36.06648711","24.88260233","1.11700291771738"
"1","01/06/2014 19:36:01","01/06/2014 19:49:01","36.06650028","24.882586","36.07528409","24.85631951","1.3785222897440528"
"1","01/06/2014 20:27:01","01/06/2014 20:33:30","36.07529304","24.85626837","36.06643427","24.88256897","1.3817751045655917"
"1","01/06/2014 22:11:01","01/06/2014 22:15:02","36.06648637","24.88259577","36.04802174","24.87956959","1.1175179045962473"
"1","01/07/2014 01:10:01","01/07/2014 01:14:02","36.0480284","24.8795682","36.06643937","24.88259434","1.1143261451801036"
"1","01/07/2014 07:20:01","01/07/2014 07:22:04","36.06649001","24.88260233","36.06368971","24.88589695","0.23186105113458788"
"1","01/07/2014 07:56:01","01/07/2014 08:03:09","36.06364685","24.88591713","36.04803209","24.87956582","0.9862025841953052"
"1","01/07/2014 12:09:01","01/07/2014 12:15:16","36.04803131","24.87957569","36.05974513","24.8580631","1.2580951077141505"
"1","01/07/2014 13:43:01","01/07/2014 13:49:16","36.05971734","24.85798936","36.04802476","24.87957126","1.260175303412919"
"1","01/07/2014 17:40:01","01/07/2014 17:44:03","36.04803144","24.87956865","36.06648972","24.88262874","1.1173575153864002"
"1","01/07/2014 18:51:01","01/07/2014 18:55:52","36.06648168","24.88261717","36.05196951","24.87082156","1.0418420104392363"
"1","01/07/2014 20:42:01","01/07/2014 20:52:01","36.05194174","24.87076823","36.06647516","24.88265566","1.0453575757773323"
"1","01/08/2014 07:47:01","01/08/2014 07:49:04","36.0664288","24.88265237","36.063662","24.88589143","0.22854840547713634"
"1","01/08/2014 08:00:01","01/08/2014 08:07:09","36.06363873","24.88589063","36.04802129","24.87957178","0.9858647262728936"
"1","01/08/2014 12:08:01","01/08/2014 12:17:27","36.04803233","24.87956519","36.07663318","24.85764339","2.018677338850358"
"1","01/08/2014 13:48:01","01/08/2014 13:57:27","36.07665452","24.85762688","36.04802996","24.87956965","2.020422197813014"
"1","01/08/2014 17:51:01","01/08/2014 17:55:03","36.04802837","24.87957533","36.06645539","24.88260676","1.1153145227461416"
"1","01/08/2014 19:18:01","01/08/2014 19:22:52","36.06646327","24.88259321","36.05196687","24.87077481","1.0416593239591299"
"1","01/08/2014 21:22:01","01/08/2014 21:29:01","36.05194566","24.87080066","36.04803094","24.87956758","0.48581896517030776"
"1","01/08/2014 23:53:01","01/08/2014 23:57:02","36.04802802","24.87957622","36.06647822","24.8826179","1.1167587151666918"
"1","01/09/2014 07:21:01","01/09/2014 07:23:04","36.06647053","24.88256875","36.06364873","24.8858859","0.23354886208906867"
"1","01/09/2014 07:51:01","01/09/2014 07:58:09","36.06370733","24.88589894","36.0480261","24.87957354","0.9896014514034468"
"1","01/09/2014 12:09:01","01/09/2014 12:17:17","36.04802137","24.87957443","36.0634869","24.85099848","1.6679898589537092"
"1","01/09/2014 13:45:01","01/09/2014 13:53:17","36.0634545","24.85102147","36.04802194","24.8795714","1.6658411507058097"
"1","01/09/2014 17:48:01","01/09/2014 17:52:03","36.04802442","24.87956768","36.06649647","24.88257847","1.1178614686409036"
"1","01/10/2014 07:50:01","01/10/2014 07:52:04","36.0665048","24.88265407","36.06369802","24.88594687","0.23208216292244427"
"1","01/10/2014 08:08:01","01/10/2014 08:15:09","36.06366519","24.88591455","36.04803228","24.87956877","0.9871534288250012"
"1","01/10/2014 12:21:01","01/10/2014 12:23:05","36.048023","24.87957337","36.05192667","24.87078047","0.48660314239773195"
"1","01/10/2014 13:21:01","01/10/2014 13:23:05","36.05195408","24.87080459","36.04803003","24.87956546","0.4858330915037231"
"1","01/10/2014 17:34:01","01/10/2014 17:38:03","36.04802104","24.87957435","36.06646524","24.88263679","1.1165354009814137"
"1","01/10/2014 19:10:01","01/10/2014 19:20:01","36.06643481","24.88258602","36.08547254","24.8604165","1.5685690832963213"
"1","01/10/2014 23:32:01","01/10/2014 23:39:32","36.08544951","24.86040478","36.06645991","24.88262309","1.5680921998200672"
"1","01/11/2014 12:40:01","01/11/2014 12:46:30","36.06650723","24.88258263","36.07666742","24.85757493","1.3573368276853637"
"1","01/11/2014 13:41:01","01/11/2014 13:41:32","36.07662775","24.85757093","36.07526672","24.85633534","0.10128261776077829"
"1","01/11/2014 15:36:01","01/11/2014 15:49:01","36.07523226","24.85628734","36.06643379","24.88261512","1.3816059833222512"
"1","01/11/2014 18:42:01","01/11/2014 18:47:07","36.0664905","24.8826232","36.05286975","24.86857115","1.0641248944464115"
"1","01/11/2014 19:47:01","01/11/2014 19:52:07","36.05283419","24.86857991","36.0664652","24.8826187","1.0641862523596355"
"1","01/12/2014 12:45:01","01/12/2014 12:51:30","36.06643347","24.88258516","36.07664647","24.85764328","1.3559152345310612"
"1","01/12/2014 14:11:01","01/12/2014 14:17:26","36.07665801","24.85759456","36.06649666","24.88240653","1.3488943068131531"
"1","01/01/2015 07:36:01","01/01/2015 07:38:04","36.06641679","24.88265483","36.06366818","24.88594298","0.2294055606853593"
"1","01/01/2015 08:11:01","01/01/2015 08:18:09","36.06368789","24.88591165","36.04802493","24.87957582","0.9887165107375294"
"1","01/01/2015 12:15:01","01/01/2015 12:24:27","36.04803017","24.8795751","36.07665029","24.85761023","2.020760644757958"
"1","01/01/2015 13:35:01","01/01/2015 13:44:27","36.07665221","24.85756416","36.04803202","24.87957344","2.0219005398365537"
"1","01/01/2015 17:30:01","01/01/2015 17:34:03","36.0480254","24.87956846","36.06647209","24.88256778","1.1162803433009758"
"1","01/01/2015 18:45:01","01/01/2015 18:49:52","36.0664525","24.88259461","36.05197383","24.87082227","1.0395425263808022"
"1","01/01/2015 19:56:01","01/01/2015 20:10:01","36.05192186","24.87078941","36.06642351","24.88263852","1.0427427293815996"
"1","01/02/2015 07:24:01","01/02/2015 07:26:04","36.06643741","24.88261471","36.06366522","24.88592678","0.23122905160822962"
